run_name,source_raw_jsonl,output_jsonl,num_examples,pass_rate,fail_rate,avg_faithfulness,avg_relevance,avg_completeness,avg_safety
graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_qdrant_eb939b866742_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,3.8,5.0
graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.6,5.0,4.2,5.0
hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.4,5.0,3.6,5.0
hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,3.6,4.6,3.4,5.0
hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.8,5.0,3.8,5.0
hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,3.8,4.6,3.4,5.0
hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.8,5.0,3.6,5.0
hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.8,5.0,3.6,5.0
hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.2,5.0,3.0,5.0
medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,3.8,5.0,3.4,5.0
medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,2.6,4.2,3.4,5.0
medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,3.8,5.0
rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.2,5.0
rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,4.0,5.0
rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.2,5.0
rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,3.8,5.0
rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.4,4.2,3.0,5.0
rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,3.6,5.0
rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
