run_name,source_raw_jsonl,output_jsonl,num_examples,pass_rate,fail_rate,avg_faithfulness,avg_relevance,avg_completeness,avg_safety
graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,3.92,4.74,3.82,4.96
hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,4.04,4.88,3.92,4.9
hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,3.86,4.8,3.7,4.94
hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.62,0.38,4.0,4.88,3.88,4.9
hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,3.88,4.8,3.7,4.94
hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.72,0.28,4.18,4.96,4.1,4.96
hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_6c41cc2303a0_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,3.9,4.78,3.88,4.96
hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.7,0.3,4.14,4.96,4.06,4.96
hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/hybrid_qdrant_cdeefb6d16f8_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.68,0.32,4.0,4.86,3.96,4.96
medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.62,0.38,3.76,4.76,3.68,4.96
medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_trained_98e67905a9d4_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.64,0.36,3.88,4.76,3.86,4.92
medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_zero_shot_12724ffc67c5_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.66,0.34,4.0,4.74,3.98,4.94
medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/medcpt_zero_shot_12724ffc67c5_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.8,0.2,4.32,4.88,4.26,4.96
rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_955998117418_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.76,0.24,4.34,4.88,4.1,5.0
rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_955998117418_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.76,0.24,4.3,4.92,4.16,4.94
rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_dd4607175604_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.74,0.26,4.3,4.72,3.96,5.0
rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_bm25_dd4607175604_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.76,0.24,4.3,4.94,4.18,4.94
rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.86,0.14,4.64,4.9,4.28,4.96
rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_555d1daa83b4_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.76,0.24,4.16,4.74,4.08,4.96
rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_eee7957793f5_top5_ret20_rerankfalse_heuristic.llm_judge_n50.jsonl,50.0,0.78,0.22,4.38,4.98,4.2,4.94
rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/rag_fusion_qdrant_eee7957793f5_top5_ret20_reranktrue_heuristic.llm_judge_n50.jsonl,50.0,0.68,0.32,4.0,4.64,3.8,4.96
